N. PROG. INVENT.,FG,MAPPALE,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA'
299,50,217,PAA2 100 - Beni demaniali,Terreno - via Paganini,sede stradale,Paganini  ,DESIO
307,50,233,PAA2 100 - Beni demaniali,Terreno - via Monteverdi,porzione mappale a sede stradale,Monteverdi Claudio  ,DESIO
832,50,233,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Monteverdi,porzione mappale a verde pubblico,Monteverdi Claudio  ,DESIO
320,51,349,PAA2 100 - Beni demaniali,Terreno - via Sciesa,porzione mappale a sede stradale,Sciesa  ,DESIO
293,51,349,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Sciesa,porzione mappale residenziale ,Sciesa  ,DESIO
294,51,350,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Sciesa,porzione mappale a residenza,Sciesa  ,DESIO
321,51,350,PAA2 100 - Beni demaniali,Terreno - via Sciesa,porzione mappale a sede stradale,Sciesa  ,DESIO
858,52,115,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Togliatti,porzione mappale a verde pubblico,Togliatti  ,DESIO
331,52,115,PAA2 100 - Beni demaniali,Terreno - via Togliatti,porzione mappale a sede stradale,Togliatti  ,DESIO
332,52,137,PAA2 100 - Beni demaniali,Terreno - via Oslavia,porzione mappale a sede stradale,Oslavia  ,DESIO
860,52,137,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Oslavia,porzione mappale a verde pubblico,Oslavia  ,DESIO
507,52,185,PAA2 100 - Beni demaniali,terreno - via Schipa,sede stradale,Schipa  ,DESIO
974,52,185,PAA2 200 - Terreni (patrimonio indisponibile),terreno - via Schipa,area a servizi comunali,Schipa  ,DESIO
846,52,20,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Oslavia,porzione mappale a verde pubblico,Oslavia  ,DESIO
325,52,20,PAA2 100 - Beni demaniali,Terreno - via Oslavia,porzione mappale a sede stradale,Oslavia  ,DESIO
353,53,131,PAA2 100 - Beni demaniali,Terreno - via Prati,porzione mappale a sede stradale,Prati  ,DESIO
881,53,131,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Prati,porzione mappale a verde pubblico,Prati  ,DESIO
351,53,131,PAA2 100 - Beni demaniali,Terreno - via Prati,porzione mappale a sede stradale,Prati  ,DESIO
352,53,174,PAA2 100 - Beni demaniali,Terreno - via Togliatti,porzione mappale a sede stradale,Togliatti  ,DESIO
879,53,174,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Togliatti,porzione mappale a verde pubblico,Togliatti  ,DESIO
896,53,183,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Togliatti,verde pubblico,Togliatti  ,DESIO
882,53,183,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Togliatti,verde pubblico,Togliatti  ,DESIO
975,53,191,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Togliatti,area a servizi comunali,Togliatti  ,DESIO
308,53,191,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Togliatti,residenziale ,Togliatti  ,DESIO
883,53,203,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Rosselli,porzione mappale a verde pubblico,Rossini  ,DESIO
358,53,203,PAA2 100 - Beni demaniali,Terreno - via Rossini,porzione mappale a sede stradale,Rossini  ,DESIO
890,53,228,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Prati,porzione mappale a verde pubblico,Prati  ,DESIO
309,53,228,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Prati,porzione mappale a residenza,Prati  ,DESIO
312,53,270,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Caduti di Nassirya,porzione mappale a residenza,Caduti di Nassirya  ,DESIO
976,53,270,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Caduti di Nassirya,porzione mappale a servizi comunali ,Caduti di Nassirya  ,DESIO
